kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Bondowoso,2019,53458.86,47.02,4.702,251371.94,25.62054794520548,30.721917808219175,21.86054794520548,15,29,1568.5000000000002,4.297260273972603,152,213,5,66.6,1,1,3,15,7,47,1637.27,4.4856712328767125,-68.76999999999975,20.03287671232877,91.34520547945203,52.56986301369863,14.928219178082191,0,0
Situbondo,2019,30225.88,55.47,5.547,167665.53999999998,26.67972602739725,30.896438356164385,23.195890410958903,3,1,2461.4,6.7435616438356165,161,204,7,195.9,1,1,4,11,7,41,1728.53,4.735698630136986,732.8700000000001,21.340849315068496,89.2931506849315,54.67123287671233,15.293150684931506,0,1
Probolinggo,2019,39464.38,49.1,4.91,193774.5,27.632328767123287,31.399452054794523,24.96219178082192,9,0,1551.3,4.25013698630137,144,221,3,70.3,1,0,2,10,6,28,1975.3,5.411780821917808,-423.9999999999998,21.228657534246576,84.58356164383562,56.41643835616439,23.50109589041096,9,0
Pasuruan,2019,53788.66,50.1,5.01,269463.05,27.74876712328767,32.0282191780822,23.886301369863013,3,2,1489.7,4.081369863013699,141,224,2,63.3,0,0,1,10,7,33,1753.48,4.804054794520548,-263.78,21.93345205479452,93.52054794520548,54.97260273972603,14.975342465753425,0,0
Sidoarjo,2019,34287.25,68.48,6.848000000000001,234788.11,27.330958904109583,31.12986301369863,23.89178082191781,2,0,1828.2,5.008767123287671,152,213,0,43.9,0,0,0,9,5,56,1731.65,4.744246575342466,96.55000000000018,21.55238356164384,94.46575342465754,56.65205479452055,16.284109589041094,0,2
Mojokerto,2019,54993.37,61.78,6.178,339755.88,27.284931506849315,32.89342465753424,22.92,83,10,1635.0,4.47945205479452,160,205,2,64.6,0,0,1,7,6,56,1683.23,4.611589041095891,-48.23000000000002,20.3461095890411,90.85205479452055,48.67123287671233,13.87068493150685,0,2
Jombang,2019,56138.02,61.32,6.132,344236.34,27.21890410958904,33.376438356164385,23.01890410958904,94,7,2272.9,6.227123287671233,162,203,2,72.2,0,0,1,9,5,56,1656.53,4.538438356164384,616.3700000000001,20.202876712328766,93.586301369863,48.35342465753425,12.8786301369863,0,1
Nganjuk,2019,65066.04,61.45,6.1450000000000005,399845.68,27.546575342465754,32.93643835616438,23.34547945205479,78,3,1382.4,3.787397260273973,137,228,1,107.8,0,0,1,11,6,48,1892.81,5.185780821917808,-510.4099999999999,20.701863013698627,87.46849315068494,48.35890410958904,19.254246575342467,0,2
Madiun,2019,68014.65000000001,61.65,6.165,419292.44,27.508767123287672,33.066849315068495,23.526027397260275,82,2,1635.7000000000005,4.4813698630137,153,212,1,134.2,0,0,1,12,8,33,1825.18,5.000493150684931,-189.4799999999996,20.34605479452055,88.03287671232877,48.47123287671233,17.96794520547945,0,2
Magetan,2019,42231.51,61.72,6.172,260671.35,25.38164383561644,30.109315068493157,22.393972602739726,14,6,3532.8,9.67890410958904,170,195,19,185.1,6,1,6,8,6,56,1788.21,4.899205479452055,1744.5899999999997,20.63980821917808,86.36712328767123,53.45205479452055,18.77342465753425,0,1
Ngawi,2019,122500.97,63.44,6.343999999999999,777190.3600000001,27.59616438356164,33.149863013698635,23.80438356164383,87,0,2252.8,6.172054794520548,170,195,5,152.9,1,0,2,11,7,56,1873.64,5.133260273972603,379.1600000000003,20.57676712328767,86.26301369863013,48.276712328767125,18.68328767123288,0,2
